web-scraper-order,web-scraper-start-url,main_article,main_article-href,nombre_piece,nombre_salle_de_bain,superficie(m2),adresse
"1739997706-1","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-libt-06-3058963","3","2","150 m2","Ngor, Dakar, Sénégal"
"1739997708-2","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yoff-onomo-3058997","3","2","150 m2","Sicap Liberté, Dakar, Sénégal"
"1739997711-3","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-almadie-3059087","3","3","250 m2","Almadies, Dakar, Sénégal"
"1739997713-4","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-point-e-3059507","1","2","72","Point E, Dakar, Sénégal"
"1739997716-5","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-hann-mariste-3059677","5","2","150 m2","Hann Bel-Air, Dakar, Sénégal"
"1739997718-6","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-apparemment-4-pieces-ngor-almadies-3059683","3","3","","Dakar, Sénégal"
"1739997721-7","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-fann-hock-3059772","1","1","1 m2","Sicap Liberté, Dakar, Sénégal"
"1739997723-8","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-05-pieces-point-e-3060255","5","5","296","Point E, Dakar, Sénégal"
"1739997725-9","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-point-e-3060697","3","2","150","Grand Dakar, Dakar, Sénégal"
"1739997728-10","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-3060708","3","3","200","Sicap Liberté, Dakar, Sénégal"
"1739997730-11","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-sipres-3061001","3","2","150","Ouest Foire, Dakar, Sénégal"
"1739997733-12","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-dieuppeul-derkle-3061012","5","4","200","Dieuppeul-Derklé, Dakar, Sénégal"
"1739997735-13","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-foire-3061052","4","3","200","Sicap Liberté, Dakar, Sénégal"
