web-scraper-order,web-scraper-start-url,main_article,main_article-href,price,superficie,Adresse,image_lien
"1739974985-1","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-keur-massar-2693751","8 000 000 CFA","150 m2","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2693751_uploaded_image1_1602668350.jpg""); width: 410px;"
"1739974988-2","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-pikine-2694148","14 000 000 CFA","150","Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/2694148_uploaded_image1_1602676339.jpg""); width: 369px;"
"1739974990-3","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-kaniack-2695073","1 500 000 CFA","150 m2","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2695073_uploaded_image1_1602698755.jpg""); width: 383px;"
"1739974993-4","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-2695250","3 500 000 CFA","150 m2","Patte d'Oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2695250_uploaded_image2_1602704314.jpeg""); width: 369px;"
"1739974995-5","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-16-hectares-diamniadio-2695658","Prix sur demande","160000 m2","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2695658_uploaded_image1_1602715993.jpg""); width: 548px;"
"1739974998-6","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-3000-m-cite-keur-gorgui-2695688","Prix sur demande","3000 m2","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2695688_uploaded_image1_1602716962.jpg""); width: 548px;"
"1739975000-7","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-83886-m-mbour-2696651","13 000 CFA","83886","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2696651_uploaded_image1_1602762205.jpg""); width: 491px;"
"1739975002-8","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-300m2-sly-joseph-2696706","6 000 000 CFA","300","Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2696706_uploaded_image1_1602764051.jpg""); width: 369px;"
"1739975005-9","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-165-m2-keur-massar-2696866","17 000 000 CFA","165","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2696866_uploaded_image1_1602767323.jpg""); width: 369px;"
"1739975007-10","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-225-m2-diass-2696911","1 700 000 CFA","225","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2696911_uploaded_image1_1602768350.jpg""); width: 369px;"
"1739975010-11","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-2697352","7 000 000 CFA","150 m2","Sebikotane, Sénégal","background-image: url(""https://images.coinafrique.com/2697352_uploaded_image1_1602779661.jpg""); width: 443px;"
